title,words,kind
The Great Gatsby,Judy,person
The Great Gatsby,Brewer,person
The Great Gatsby,Claudia Hip,person
The Great Gatsby,Lewis,person
The Great Gatsby,Earl,person
The Great Gatsby,Mr Wolfshiem,person
The Great Gatsby,Meyer,person
The Great Gatsby,Meyer Wolfshiem,person
The Great Gatsby,Camp Taylor,person
The Great Gatsby,Hello Jordan,person
The Great Gatsby,Barbara Tom,person
The Great Gatsby,Finn,person
The Great Gatsby,Clay,person
The Great Gatsby,Jay,person
The Great Gatsby,Gatsby,person
The Great Gatsby,Ewing,person
The Great Gatsby,James Gatz,person
The Great Gatsby,James Gatzthat,person
The Great Gatsby,Dan Cody,person
The Great Gatsby,Ella Kaye,person
The Great Gatsby,Mr Sloane,person
The Great Gatsby,Tom and Daisy,person
The Great Gatsby,Doc,person
The Great Gatsby,Doctor Civet,person
The Great Gatsby,Mr Thomas Buchanan,person
The Great Gatsby,Aunt Jordan,person
The Great Gatsby,Daddy,person
The Great Gatsby,Eckleburg,person
The Great Gatsby,Bill Biloxi,person
The Great Gatsby,Wait,person
The Great Gatsby,Meyer Wolfshiemthat,person
The Great Gatsby,Walter Chase,person
The Great Gatsby,Walter,person
The Great Gatsby,Michaelis,person
The Great Gatsby,Presently Tom,person
The Great Gatsby,Dan Codytold,person
The Great Gatsby,George,person
The Great Gatsby,Edgar,person
The Great Gatsby,Parke,person
The Great Gatsby,Henry C Gatz,person
The Great Gatsby,James,person
The Great Gatsby,Jimmy,person
The Great Gatsby,830430,person
The Great Gatsby,Paul Railroad,person
Tender is the Night,Mrs McKisco,person
Tender is the Night,Mrs Abrams,person
Tender is the Night,Abe North,person
Tender is the Night,Joyce,person
Tender is the Night,Albert,person
Tender is the Night,Dick Diver,person
Tender is the Night,Earl Brady,person
Tender is the Night,Carnival Song,person
Tender is the Night,Monte Carlobegan,person
Tender is the Night,Nicole Diver,person
Tender is the Night,Dick,person
Tender is the Night,Seraphim Tullio,person
Tender is the Night,Maria Amalia Roto Mais,person
Tender is the Night,Moises Teubel,person
Tender is the Night,Nicole,person
Tender is the Night,Evelyn Oyster,person
Tender is the Night,Dick Diverhe,person
Tender is the Night,Mary North,person
Tender is the Night,Rosemary,person
Tender is the Night,Abe,person
Tender is the Night,Mr Brady,person
Tender is the Night,Connie Talmadge,person
Tender is the Night,Wait,person
Tender is the Night,Brady,person
Tender is the Night,Mrs Speers,person
Tender is the Night,Tommy Barbanhe,person
Tender is the Night,Tommy Barban,person
Tender is the Night,Tommy,person
Tender is the Night,Mr Royal Dumphry,person
Tender is the Night,Barban,person
Tender is the Night,McKiscothus,person
Tender is the Night,Monday Abe,person
Tender is the Night,Luis Campion,person
Tender is the Night,McKisco,person
Tender is the Night,Mrs Speer,person
Tender is the Night,When Abe,person
Tender is the Night,Daddy,person
Tender is the Night,Girl,person
Tender is the Night,Grant,person
Tender is the Night,Lewis,person
Tender is the Night,Carroll,person
Tender is the Night,Jules Verne,person
Tender is the Night,Lawrence,person
Tender is the Night,George,person
Tender is the Night,Mary,person
Tender is the Night,Collis Clay,person
Tender is the Night,If Abe,person
Tender is the Night,Patiently Abe,person
Tender is the Night,Maria Wallis,person
Tender is the Night,Maria,person
Tender is the Night,Collis,person
Tender is the Night,Clay,person
Tender is the Night,Bill Hillis,person
Tender is the Night,Buddy,person
Tender is the Night,James,person
Tender is the Night,Marie Brizard,person
Tender is the Night,Punch Orangeade,person
Tender is the Night,Fernet Branca,person
Tender is the Night,About Maria Wallis,person
Tender is the Night,Roman,person
Tender is the Night,Paul,person
Tender is the Night,Claude,person
Tender is the Night,Paul liked Abe,person
Tender is the Night,Mr North,person
Tender is the Night,Pearson,person
Tender is the Night,Jules Peterson,person
Tender is the Night,Richard Diver,person
Tender is the Night,Mr Peterson,person
Tender is the Night,Freeman,person
Tender is the Night,Peterson,person
Tender is the Night,Resignedly Abe,person
Tender is the Night,Doctor Diver,person
Tender is the Night,Doctor Richard Diver,person
Tender is the Night,Lucky Dick,person
Tender is the Night,Ed Elkins,person
Tender is the Night,ElkinsElkins,person
Tender is the Night,Pete Livingstone,person
Tender is the Night,Franz Gregorovious,person
Tender is the Night,Franz,person
Tender is the Night,Doctor Gregory,person
Tender is the Night,Dohmler,person
Tender is the Night,Joan,person
Tender is the Night,Gregory,person
Tender is the Night,Doctor Dohmler,person
Tender is the Night,Warren,person
Tender is the Night,Mr Warren,person
Tender is the Night,Sherlock Holmes,person
Tender is the Night,Palmer,person
Tender is the Night,Swift,person
Tender is the Night,Doctor,person
Tender is the Night,Frau Gregorovious,person
Tender is the Night,Alexander,person
Tender is the Night,Honestly,person
Tender is the Night,Beth,person
Tender is the Night,Sid Warren,person
Tender is the Night,Warren Wanted,person
Tender is the Night,Byron,person
Tender is the Night,Butterfly,person
Tender is the Night,Nicole Warren,person
Tender is the Night,Strauss,person
Tender is the Night,Baby,person
Tender is the Night,Mad Anthony Wayne40,person
Tender is the Night,Mad Anthony Wayne,person
Tender is the Night,Marshall Field,person
Tender is the Night,Topsy,person
Tender is the Night,Picasso,person
Tender is the Night,Mr McBeth,person
Tender is the Night,Ward McAllister,person
Tender is the Night,Englishman,person
Tender is the Night,Adler,person
Tender is the Night,Lanier,person
Tender is the Night,Doctor Gregorovious,person
Tender is the Night,Doctor Lladislau,person
Tender is the Night,Monsieur,person
Tender is the Night,Msieur,person
Tender is the Night,Mr McKibben,person
Tender is the Night,Holmes,person
Tender is the Night,Albert McKisco,person
Tender is the Night,Sainclair Lewis,person
Tender is the Night,Rosemary Hoyt,person
Tender is the Night,Michael Arlen,person
Tender is the Night,Lord Paley,person
Tender is the Night,Marion Crawford,person
Tender is the Night,Mr Deever,person
Tender is the Night,Doctor Colazzo,person
Tender is the Night,Swanson,person
Tender is the Night,Norma Talmadge,person
Tender is the Night,Francisco,person
Tender is the Night,Royal Dumphry,person
Tender is the Night,Doctor Diverone,person
Tender is the Night,Doctor Dangeu,person
Tender is the Night,Von Cohn Morris,person
Tender is the Night,Von Cohn,person
Tender is the Night,Tony,person
Tender is the Night,Tommy Europeanized,person
Tender is the Night,Ronald Colmanhave,person
Tender is the Night,Caroline SiblyBiers58,person
Tender is the Night,John Held,person
Tender is the Night,Caroline SiblyBiers,person
Tender is the Night,Caroline,person
Tender is the Night,Mary Minghetti,person
Tender is the Night,Charlie,person
Tender is the Night,John D Rockefeller Mellon,person
Tender is the Night,Henry Ford,person
Tender is the Night,Monsieur Gausse,person
Tender is the Night,Gausse,person
Tender is the Night,Johnny Walkair,person
Tender is the Night,Elle,person
Tender is the Night,Doctor Eliot,person
Tender is the Night,Batavia,person
