title,words,kind
For Whom The Bell Tolls,Emil Burns,person
For Whom The Bell Tolls,Walter,person
For Whom The Bell Tolls,Jean de Luz,person
For Whom The Bell Tolls,Juan Luis,person
For Whom The Bell Tolls,Rosa,person
For Whom The Bell Tolls,Ignacio Sanchez Mejias,person
For Whom The Bell Tolls,Felipe Gonzalez,person
For Whom The Bell Tolls,Pilar Fernando,person
For Whom The Bell Tolls,Plus Pablo,person
For Whom The Bell Tolls,Not Pablo,person
For Whom The Bell Tolls,Sordo,person
For Whom The Bell Tolls,Lord Ingls,person
For Whom The Bell Tolls,Saint Anthony,person
For Whom The Bell Tolls,Lieutenant Berrendo,person
For Whom The Bell Tolls,Mary,person
For Whom The Bell Tolls,Smith,person
For Whom The Bell Tolls,Bob,person
For Whom The Bell Tolls,Horn,person
For Whom The Bell Tolls,George Custer,person
For Whom The Bell Tolls,Phil Sheridan,person
For Whom The Bell Tolls,Jeb Stuart,person
For Whom The Bell Tolls,John Mosby,person
For Whom The Bell Tolls,Wellington,person
For Whom The Bell Tolls,Richard,person
For Whom The Bell Tolls,Eladio,person
For Whom The Bell Tolls,Pablo Iglesias,person
For Whom The Bell Tolls,Peter,person
For Whom The Bell Tolls,Paul,person
For Whom The Bell Tolls,Gloria,person
For Whom The Bell Tolls,Cruz,person
For Whom The Bell Tolls,Guy,person
For Whom The Bell Tolls,Mike,person
For Whom The Bell Tolls,Alejandro,person
For Whom The Bell Tolls,Pablo Fernando,person
For Whom The Bell Tolls,Judas Iscariot,person
For Whom The Bell Tolls,No Pablo,person
For Whom The Bell Tolls,Seeing Pablo,person
For Whom The Bell Tolls,Gomez,person
For Whom The Bell Tolls,Mundo Obrero,person
For Whom The Bell Tolls,Captain Gomez,person
For Whom The Bell Tolls,Rogelio Gomez,person
For Whom The Bell Tolls,Marty,person
For Whom The Bell Tolls,Comrade Marty,person
For Whom The Bell Tolls,Hungarians,person
For Whom The Bell Tolls,Stalin,person
For Whom The Bell Tolls,Duval,person
For Whom The Bell Tolls,Agustn,person
For Whom The Bell Tolls,As Pablo,person
For Whom The Bell Tolls,Gallop,person
A Farewell to Arms,Franz Joseph,person
A Farewell to Arms,Bring Caruso,person
A Farewell to Arms,Florence,person
A Farewell to Arms,Rome,person
A Farewell to Arms,Firenze,person
A Farewell to Arms,Miss Barkley,person
A Farewell to Arms,Hugo,person
A Farewell to Arms,Wait,person
A Farewell to Arms,Barkley,person
A Farewell to Arms,Helen Ferguson,person
A Farewell to Arms,Miss Ferguson,person
A Farewell to Arms,Ferguson,person
A Farewell to Arms,Helen,person
A Farewell to Arms,Mr Henry,person
A Farewell to Arms,Catherine,person
A Farewell to Arms,Catherine Barkley,person
A Farewell to Arms,Napoleon,person
A Farewell to Arms,Frederico Enrico,person
A Farewell to Arms,Rinaldi,person
A Farewell to Arms,Saint Anthony,person
A Farewell to Arms,The Saint Anthony,person
A Farewell to Arms,Tenente,person
A Farewell to Arms,Mia,person
A Farewell to Arms,Maria,person
A Farewell to Arms,Mary,person
A Farewell to Arms,Passini,person
